"","race","age","yeardth","rate","count","pop","yearbth","mod","modnotreat","modcrazytreat"
"750","White",32.5,1975,0,0,12315311,1942.5,1.03540852421817e-07,1.03540852421817e-07,1.03540852421817e-07
"751","Black",37.5,1980,0,0,1478621,1942.5,4.90452891900445e-07,4.90452891900445e-07,4.90452891900445e-07
"752","White",37.5,1980,0,0,12209990,1942.5,1.42067697674902e-07,1.42067697674902e-07,1.42067697674902e-07
"753","Black",42.5,1985,0,0,1470874,1942.5,2.02447490221708e-06,2.03934972929586e-06,1.97305080200255e-06
"754","White",42.5,1985,0.1,11,12142995,1942.5,7.34688001055552e-07,7.509703064164e-07,7.2223492957081e-07
"755","Black",47.5,1990,0.7,10,1421312,1942.5,7.43240736063187e-06,7.74893481595104e-06,6.31723006465623e-06
"756","White",47.5,1990,0.3,37,11894187,1942.5,2.97997744512712e-06,3.44445734809016e-06,2.61854142689334e-06
"757","Black",52.5,1995,3.9,55,1417277,1942.5,2.92075065816467e-05,3.20471448782991e-05,1.90493432547579e-05
"758","White",52.5,1995,1.6,195,11877218,1942.5,1.17576111896048e-05,1.53810343129992e-05,8.89873885757371e-06
"759","Black",57.5,2000,12.8,174,1358379,1942.5,0.000106389122445697,0.000117739008481933,6.49175038528333e-05
"760","White",57.5,2000,3.8,444,11615591,1942.5,4.0132446045006e-05,5.35625655068353e-05,2.93176125208389e-05
"761","Black",62.5,2005,26.8,347,1293614,1942.5,0.000304913444399913,0.000337244411708703,0.000184194189069336
"762","White",62.5,2005,9.1,1022,11228644,1942.5,0.000111333583738354,0.000148651499634453,8.07491665676155e-05
"763","Black",67.5,2010,46.1,557,1208729,1942.5,0.000629691364395432,0.000693777586793125,0.000382082885090385
"764","White",67.5,2010,17.3,1850,10688236,1942.5,0.000251828829402449,0.000334770046977759,0.000182507602771773
"765","Black",27.5,1971,0,0,1467538,1943.5,0,0,0
"766","White",27.5,1971,0,0,12224710,1943.5,9.67661679939937e-08,9.67661679939937e-08,9.67661679939937e-08
"767","Black",32.5,1976,0,0,1526328,1943.5,0,0,0
